Player,Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MVP_Award_Year,PlayerPhoto,TeamLogo
Nikola Jokić,2015-16,20,DEN,NBA,C,80.0,55,21.7,3.8,7.5,.512,0.4,1.1,.333,3.5,6.5,.541,.535,1.9,2.4,.811,2.3,4.7,7.0,2.4,1.0,0.6,1.3,2.6,10.0,2023-24,https://www.basketball-reference.com/req/202106291/images/headshots/jokicni01.jpg,https://cdn.nba.com/logos/nba/1610612743/primary/L/logo.svg
Nikola Jokić,2016-17,21,DEN,NBA,C,73.0,59,27.9,6.8,11.7,.578,0.6,1.9,.324,6.2,9.8,.628,.605,2.6,3.1,.825,2.9,6.9,9.8,4.9,0.8,0.8,2.3,2.9,16.7,2023-24,https://www.basketball-reference.com/req/202106291/images/headshots/jokicni01.jpg,https://cdn.nba.com/logos/nba/1610612743/primary/L/logo.svg
Nikola Jokić,2017-18,22,DEN,NBA,C,75.0,73,32.6,6.7,13.5,.499,1.5,3.7,.396,5.2,9.7,.538,.554,3.5,4.2,.850,2.6,8.1,10.7,6.1,1.2,0.8,2.8,2.8,18.5,2023-24,https://www.basketball-reference.com/req/202106291/images/headshots/jokicni01.jpg,https://cdn.nba.com/logos/nba/1610612743/primary/L/logo.svg
Nikola Jokić,2018-19,23,DEN,NBA,C,80.0,80,31.3,7.7,15.1,.511,1.0,3.4,.307,6.7,11.7,.569,.545,3.6,4.4,.821,2.9,8.0,10.8,7.3,1.4,0.7,3.1,2.9,20.1,2023-24,https://www.basketball-reference.com/req/202106291/images/headshots/jokicni01.jpg,https://cdn.nba.com/logos/nba/1610612743/primary/L/logo.svg
Nikola Jokić,2019-20,24,DEN,NBA,C,73.0,73,32.0,7.7,14.7,.528,1.1,3.5,.314,6.6,11.2,.594,.565,3.4,4.1,.817,2.3,7.5,9.7,7.0,1.2,0.6,3.1,3.0,19.9,2023-24,https://www.basketball-reference.com/req/202106291/images/headshots/jokicni01.jpg,https://cdn.nba.com/logos/nba/1610612743/primary/L/logo.svg
Nikola Jokić,2020-21,25,DEN,NBA,C,72.0,72,34.6,10.2,18.0,.566,1.3,3.3,.388,8.9,14.7,.606,.602,4.8,5.5,.868,2.8,8.0,10.8,8.3,1.3,0.7,3.1,2.7,26.4,2023-24,https://www.basketball-reference.com/req/202106291/images/headshots/jokicni01.jpg,https://cdn.nba.com/logos/nba/1610612743/primary/L/logo.svg
Nikola Jokić,2021-22,26,DEN,NBA,C,74.0,74,33.5,10.3,17.7,.583,1.3,3.9,.337,9.0,13.8,.652,.620,5.1,6.3,.810,2.8,11.0,13.8,7.9,1.5,0.9,3.8,2.6,27.1,2023-24,https://www.basketball-reference.com/req/202106291/images/headshots/jokicni01.jpg,https://cdn.nba.com/logos/nba/1610612743/primary/L/logo.svg
Nikola Jokić,2022-23,27,DEN,NBA,C,69.0,69,33.7,9.4,14.8,.632,0.8,2.2,.383,8.5,12.7,.675,.660,4.9,6.0,.822,2.4,9.4,11.8,9.8,1.3,0.7,3.6,2.5,24.5,2023-24,https://www.basketball-reference.com/req/202106291/images/headshots/jokicni01.jpg,https://cdn.nba.com/logos/nba/1610612743/primary/L/logo.svg
Nikola Jokić,2023-24,28,DEN,NBA,C,79.0,79,34.6,10.4,17.9,.583,1.1,2.9,.359,9.4,14.9,.626,.612,4.5,5.5,.817,2.8,9.5,12.4,9.0,1.4,0.9,3.0,2.5,26.4,2023-24,https://www.basketball-reference.com/req/202106291/images/headshots/jokicni01.jpg,https://cdn.nba.com/logos/nba/1610612743/primary/L/logo.svg
Nikola Jokić,2024-25,29,DEN,NBA,C,51.0,51,36.0,11.2,19.5,.574,2.1,4.6,.447,9.1,14.8,.613,.627,5.0,6.1,.821,3.0,9.6,12.7,10.2,1.8,0.6,3.2,2.2,29.4,2023-24,https://www.basketball-reference.com/req/202106291/images/headshots/jokicni01.jpg,https://cdn.nba.com/logos/nba/1610612743/primary/L/logo.svg
Joel Embiid,2016-17,22,PHI,NBA,C,31.0,31,25.4,6.5,13.8,.466,1.2,3.2,.367,5.3,10.7,.495,.508,6.2,7.9,.783,2.0,5.9,7.8,2.1,0.9,2.5,3.8,3.6,20.2,2022-23,https://www.basketball-reference.com/req/202106291/images/headshots/embiijo01.jpg,https://cdn.nba.com/logos/nba/1610612755/primary/L/logo.svg
Joel Embiid,2017-18,23,PHI,NBA,C,63.0,63,30.3,8.1,16.8,.483,1.0,3.4,.308,7.0,13.4,.527,.514,5.7,7.4,.769,2.3,8.7,11.0,3.2,0.6,1.8,3.7,3.3,22.9,2022-23,https://www.basketball-reference.com/req/202106291/images/headshots/embiijo01.jpg,https://cdn.nba.com/logos/nba/1610612755/primary/L/logo.svg
Joel Embiid,2018-19,24,PHI,NBA,C,64.0,64,33.7,9.1,18.7,.484,1.2,4.1,.300,7.8,14.6,.535,.517,8.2,10.1,.804,2.5,11.1,13.6,3.7,0.7,1.9,3.5,3.3,27.5,2022-23,https://www.basketball-reference.com/req/202106291/images/headshots/embiijo01.jpg,https://cdn.nba.com/logos/nba/1610612755/primary/L/logo.svg
Joel Embiid,2019-20,25,PHI,NBA,C,51.0,51,29.5,7.5,15.7,.477,1.1,3.4,.331,6.4,12.3,.517,.512,6.9,8.5,.807,2.8,8.9,11.6,3.0,0.9,1.3,3.1,3.4,23.0,2022-23,https://www.basketball-reference.com/req/202106291/images/headshots/embiijo01.jpg,https://cdn.nba.com/logos/nba/1610612755/primary/L/logo.svg
Joel Embiid,2020-21,26,PHI,NBA,C,51.0,51,31.1,9.0,17.6,.513,1.1,3.0,.377,7.9,14.6,.541,.545,9.2,10.7,.859,2.2,8.4,10.6,2.8,1.0,1.4,3.1,2.4,28.5,2022-23,https://www.basketball-reference.com/req/202106291/images/headshots/embiijo01.jpg,https://cdn.nba.com/logos/nba/1610612755/primary/L/logo.svg
Joel Embiid,2021-22,27,PHI,NBA,C,68.0,68,33.8,9.8,19.6,.499,1.4,3.7,.371,8.4,15.9,.529,.534,9.6,11.8,.814,2.1,9.6,11.7,4.2,1.1,1.5,3.1,2.7,30.6,2022-23,https://www.basketball-reference.com/req/202106291/images/headshots/embiijo01.jpg,https://cdn.nba.com/logos/nba/1610612755/primary/L/logo.svg
Joel Embiid,2022-23,28,PHI,NBA,C,66.0,66,34.6,11.0,20.1,.548,1.0,3.0,.330,10.0,17.1,.587,.573,10.0,11.7,.857,1.7,8.4,10.2,4.2,1.0,1.7,3.4,3.1,33.1,2022-23,https://www.basketball-reference.com/req/202106291/images/headshots/embiijo01.jpg,https://cdn.nba.com/logos/nba/1610612755/primary/L/logo.svg
Joel Embiid,2023-24,29,PHI,NBA,C,39.0,39,33.6,11.5,21.8,.529,1.4,3.6,.388,10.2,18.3,.556,.561,10.2,11.6,.883,2.4,8.6,11.0,5.6,1.2,1.7,3.8,2.9,34.7,2022-23,https://www.basketball-reference.com/req/202106291/images/headshots/embiijo01.jpg,https://cdn.nba.com/logos/nba/1610612755/primary/L/logo.svg
Joel Embiid,2024-25,30,PHI,NBA,C,19.0,19,30.2,7.4,16.6,.444,1.2,4.1,.299,6.2,12.5,.492,.481,7.8,8.9,.882,1.9,6.3,8.2,4.5,0.7,0.9,3.3,2.2,23.8,2022-23,https://www.basketball-reference.com/req/202106291/images/headshots/embiijo01.jpg,https://cdn.nba.com/logos/nba/1610612755/primary/L/logo.svg
Giannis Antetokounmpo,2013-14,19,MIL,NBA,SF,77.0,23,24.6,2.2,5.4,.414,0.5,1.5,.347,1.7,3.9,.440,.463,1.8,2.6,.683,1.0,3.4,4.4,1.9,0.8,0.8,1.6,2.2,6.8,2019-20,https://www.basketball-reference.com/req/202106291/images/headshots/antetgi01.jpg,https://cdn.nba.com/logos/nba/1610612749/primary/L/logo.svg
Giannis Antetokounmpo,2014-15,20,MIL,NBA,SG,81.0,71,31.4,4.7,9.6,.491,0.1,0.5,.159,4.6,9.1,.511,.496,3.2,4.3,.741,1.2,5.5,6.7,2.6,0.9,1.0,2.1,3.1,12.7,2019-20,https://www.basketball-reference.com/req/202106291/images/headshots/antetgi01.jpg,https://cdn.nba.com/logos/nba/1610612749/primary/L/logo.svg
Giannis Antetokounmpo,2015-16,21,MIL,NBA,PG,80.0,79,35.3,6.4,12.7,.506,0.4,1.4,.257,6.1,11.3,.537,.520,3.7,5.1,.724,1.4,6.2,7.7,4.3,1.2,1.4,2.6,3.2,16.9,2019-20,https://www.basketball-reference.com/req/202106291/images/headshots/antetgi01.jpg,https://cdn.nba.com/logos/nba/1610612749/primary/L/logo.svg
Giannis Antetokounmpo,2016-17,22,MIL,NBA,SF,80.0,80,35.6,8.2,15.7,.521,0.6,2.3,.272,7.6,13.5,.563,.541,5.9,7.7,.770,1.8,7.0,8.8,5.4,1.6,1.9,2.9,3.1,22.9,2019-20,https://www.basketball-reference.com/req/202106291/images/headshots/antetgi01.jpg,https://cdn.nba.com/logos/nba/1610612749/primary/L/logo.svg
