Player,Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MVP_Award_Year,PlayerPhoto,TeamLogo,PlayerInfo
Nikola Jokić,2015-16,20,DEN,NBA,C,80.0,55,21.7,3.8,7.5,0.512,0.4,1.1,0.333,3.5,6.5,0.541,0.535,1.9,2.4,0.811,2.3,4.7,7.0,2.4,1.0,0.6,1.3,2.6,10.0,2023-24,https://www.basketball-reference.com/req/202106291/images/headshots/jokicni01.jpg,https://cdn.nba.com/logos/nba/1610612743/primary/L/logo.svg,"Nikola Jokić (Serbian Cyrillic: Никола Јокић, pronounced ⓘ; born February 19, 1995) is a Serbian professional basketball player who is a center for the Denver Nuggets of the National Basketball Association (NBA). Nicknamed ""the Joker"", he is widely regarded as one of the greatest players and centers of all time, and is often considered the greatest draft steal in NBA history. A seven-time NBA All-Star, Jokić has been named to the All-NBA Team on six occasions (including four first-team selections), and won the NBA Most Valuable Player Award for the 2020–21, 2021–22, and 2023–24 seasons. He represents the Serbian national team, with which he won a silver medal at the 2016 Summer Olympics, and a bronze medal at the 2024 Summer Olympics."
Nikola Jokić,2016-17,21,DEN,NBA,C,73.0,59,27.9,6.8,11.7,0.578,0.6,1.9,0.324,6.2,9.8,0.628,0.605,2.6,3.1,0.825,2.9,6.9,9.8,4.9,0.8,0.8,2.3,2.9,16.7,2023-24,https://www.basketball-reference.com/req/202106291/images/headshots/jokicni01.jpg,https://cdn.nba.com/logos/nba/1610612743/primary/L/logo.svg,"Nikola Jokić (Serbian Cyrillic: Никола Јокић, pronounced ⓘ; born February 19, 1995) is a Serbian professional basketball player who is a center for the Denver Nuggets of the National Basketball Association (NBA). Nicknamed ""the Joker"", he is widely regarded as one of the greatest players and centers of all time, and is often considered the greatest draft steal in NBA history. A seven-time NBA All-Star, Jokić has been named to the All-NBA Team on six occasions (including four first-team selections), and won the NBA Most Valuable Player Award for the 2020–21, 2021–22, and 2023–24 seasons. He represents the Serbian national team, with which he won a silver medal at the 2016 Summer Olympics, and a bronze medal at the 2024 Summer Olympics."
Nikola Jokić,2017-18,22,DEN,NBA,C,75.0,73,32.6,6.7,13.5,0.499,1.5,3.7,0.396,5.2,9.7,0.538,0.554,3.5,4.2,0.85,2.6,8.1,10.7,6.1,1.2,0.8,2.8,2.8,18.5,2023-24,https://www.basketball-reference.com/req/202106291/images/headshots/jokicni01.jpg,https://cdn.nba.com/logos/nba/1610612743/primary/L/logo.svg,"Nikola Jokić (Serbian Cyrillic: Никола Јокић, pronounced ⓘ; born February 19, 1995) is a Serbian professional basketball player who is a center for the Denver Nuggets of the National Basketball Association (NBA). Nicknamed ""the Joker"", he is widely regarded as one of the greatest players and centers of all time, and is often considered the greatest draft steal in NBA history. A seven-time NBA All-Star, Jokić has been named to the All-NBA Team on six occasions (including four first-team selections), and won the NBA Most Valuable Player Award for the 2020–21, 2021–22, and 2023–24 seasons. He represents the Serbian national team, with which he won a silver medal at the 2016 Summer Olympics, and a bronze medal at the 2024 Summer Olympics."
Nikola Jokić,2018-19,23,DEN,NBA,C,80.0,80,31.3,7.7,15.1,0.511,1.0,3.4,0.307,6.7,11.7,0.569,0.545,3.6,4.4,0.821,2.9,8.0,10.8,7.3,1.4,0.7,3.1,2.9,20.1,2023-24,https://www.basketball-reference.com/req/202106291/images/headshots/jokicni01.jpg,https://cdn.nba.com/logos/nba/1610612743/primary/L/logo.svg,"Nikola Jokić (Serbian Cyrillic: Никола Јокић, pronounced ⓘ; born February 19, 1995) is a Serbian professional basketball player who is a center for the Denver Nuggets of the National Basketball Association (NBA). Nicknamed ""the Joker"", he is widely regarded as one of the greatest players and centers of all time, and is often considered the greatest draft steal in NBA history. A seven-time NBA All-Star, Jokić has been named to the All-NBA Team on six occasions (including four first-team selections), and won the NBA Most Valuable Player Award for the 2020–21, 2021–22, and 2023–24 seasons. He represents the Serbian national team, with which he won a silver medal at the 2016 Summer Olympics, and a bronze medal at the 2024 Summer Olympics."
Nikola Jokić,2019-20,24,DEN,NBA,C,73.0,73,32.0,7.7,14.7,0.528,1.1,3.5,0.314,6.6,11.2,0.594,0.565,3.4,4.1,0.817,2.3,7.5,9.7,7.0,1.2,0.6,3.1,3.0,19.9,2023-24,https://www.basketball-reference.com/req/202106291/images/headshots/jokicni01.jpg,https://cdn.nba.com/logos/nba/1610612743/primary/L/logo.svg,"Nikola Jokić (Serbian Cyrillic: Никола Јокић, pronounced ⓘ; born February 19, 1995) is a Serbian professional basketball player who is a center for the Denver Nuggets of the National Basketball Association (NBA). Nicknamed ""the Joker"", he is widely regarded as one of the greatest players and centers of all time, and is often considered the greatest draft steal in NBA history. A seven-time NBA All-Star, Jokić has been named to the All-NBA Team on six occasions (including four first-team selections), and won the NBA Most Valuable Player Award for the 2020–21, 2021–22, and 2023–24 seasons. He represents the Serbian national team, with which he won a silver medal at the 2016 Summer Olympics, and a bronze medal at the 2024 Summer Olympics."
Nikola Jokić,2020-21,25,DEN,NBA,C,72.0,72,34.6,10.2,18.0,0.566,1.3,3.3,0.388,8.9,14.7,0.606,0.602,4.8,5.5,0.868,2.8,8.0,10.8,8.3,1.3,0.7,3.1,2.7,26.4,2023-24,https://www.basketball-reference.com/req/202106291/images/headshots/jokicni01.jpg,https://cdn.nba.com/logos/nba/1610612743/primary/L/logo.svg,"Nikola Jokić (Serbian Cyrillic: Никола Јокић, pronounced ⓘ; born February 19, 1995) is a Serbian professional basketball player who is a center for the Denver Nuggets of the National Basketball Association (NBA). Nicknamed ""the Joker"", he is widely regarded as one of the greatest players and centers of all time, and is often considered the greatest draft steal in NBA history. A seven-time NBA All-Star, Jokić has been named to the All-NBA Team on six occasions (including four first-team selections), and won the NBA Most Valuable Player Award for the 2020–21, 2021–22, and 2023–24 seasons. He represents the Serbian national team, with which he won a silver medal at the 2016 Summer Olympics, and a bronze medal at the 2024 Summer Olympics."
Nikola Jokić,2021-22,26,DEN,NBA,C,74.0,74,33.5,10.3,17.7,0.583,1.3,3.9,0.337,9.0,13.8,0.652,0.62,5.1,6.3,0.81,2.8,11.0,13.8,7.9,1.5,0.9,3.8,2.6,27.1,2023-24,https://www.basketball-reference.com/req/202106291/images/headshots/jokicni01.jpg,https://cdn.nba.com/logos/nba/1610612743/primary/L/logo.svg,"Nikola Jokić (Serbian Cyrillic: Никола Јокић, pronounced ⓘ; born February 19, 1995) is a Serbian professional basketball player who is a center for the Denver Nuggets of the National Basketball Association (NBA). Nicknamed ""the Joker"", he is widely regarded as one of the greatest players and centers of all time, and is often considered the greatest draft steal in NBA history. A seven-time NBA All-Star, Jokić has been named to the All-NBA Team on six occasions (including four first-team selections), and won the NBA Most Valuable Player Award for the 2020–21, 2021–22, and 2023–24 seasons. He represents the Serbian national team, with which he won a silver medal at the 2016 Summer Olympics, and a bronze medal at the 2024 Summer Olympics."
Nikola Jokić,2022-23,27,DEN,NBA,C,69.0,69,33.7,9.4,14.8,0.632,0.8,2.2,0.383,8.5,12.7,0.675,0.66,4.9,6.0,0.822,2.4,9.4,11.8,9.8,1.3,0.7,3.6,2.5,24.5,2023-24,https://www.basketball-reference.com/req/202106291/images/headshots/jokicni01.jpg,https://cdn.nba.com/logos/nba/1610612743/primary/L/logo.svg,"Nikola Jokić (Serbian Cyrillic: Никола Јокић, pronounced ⓘ; born February 19, 1995) is a Serbian professional basketball player who is a center for the Denver Nuggets of the National Basketball Association (NBA). Nicknamed ""the Joker"", he is widely regarded as one of the greatest players and centers of all time, and is often considered the greatest draft steal in NBA history. A seven-time NBA All-Star, Jokić has been named to the All-NBA Team on six occasions (including four first-team selections), and won the NBA Most Valuable Player Award for the 2020–21, 2021–22, and 2023–24 seasons. He represents the Serbian national team, with which he won a silver medal at the 2016 Summer Olympics, and a bronze medal at the 2024 Summer Olympics."
Nikola Jokić,2023-24,28,DEN,NBA,C,79.0,79,34.6,10.4,17.9,0.583,1.1,2.9,0.359,9.4,14.9,0.626,0.612,4.5,5.5,0.817,2.8,9.5,12.4,9.0,1.4,0.9,3.0,2.5,26.4,2023-24,https://www.basketball-reference.com/req/202106291/images/headshots/jokicni01.jpg,https://cdn.nba.com/logos/nba/1610612743/primary/L/logo.svg,"Nikola Jokić (Serbian Cyrillic: Никола Јокић, pronounced ⓘ; born February 19, 1995) is a Serbian professional basketball player who is a center for the Denver Nuggets of the National Basketball Association (NBA). Nicknamed ""the Joker"", he is widely regarded as one of the greatest players and centers of all time, and is often considered the greatest draft steal in NBA history. A seven-time NBA All-Star, Jokić has been named to the All-NBA Team on six occasions (including four first-team selections), and won the NBA Most Valuable Player Award for the 2020–21, 2021–22, and 2023–24 seasons. He represents the Serbian national team, with which he won a silver medal at the 2016 Summer Olympics, and a bronze medal at the 2024 Summer Olympics."
Nikola Jokić,2024-25,29,DEN,NBA,C,51.0,51,36.0,11.2,19.5,0.574,2.1,4.6,0.447,9.1,14.8,0.613,0.627,5.0,6.1,0.821,3.0,9.6,12.7,10.2,1.8,0.6,3.2,2.2,29.4,2023-24,https://www.basketball-reference.com/req/202106291/images/headshots/jokicni01.jpg,https://cdn.nba.com/logos/nba/1610612743/primary/L/logo.svg,"Nikola Jokić (Serbian Cyrillic: Никола Јокић, pronounced ⓘ; born February 19, 1995) is a Serbian professional basketball player who is a center for the Denver Nuggets of the National Basketball Association (NBA). Nicknamed ""the Joker"", he is widely regarded as one of the greatest players and centers of all time, and is often considered the greatest draft steal in NBA history. A seven-time NBA All-Star, Jokić has been named to the All-NBA Team on six occasions (including four first-team selections), and won the NBA Most Valuable Player Award for the 2020–21, 2021–22, and 2023–24 seasons. He represents the Serbian national team, with which he won a silver medal at the 2016 Summer Olympics, and a bronze medal at the 2024 Summer Olympics."
Joel Embiid,2016-17,22,PHI,NBA,C,31.0,31,25.4,6.5,13.8,0.466,1.2,3.2,0.367,5.3,10.7,0.495,0.508,6.2,7.9,0.783,2.0,5.9,7.8,2.1,0.9,2.5,3.8,3.6,20.2,2022-23,https://www.basketball-reference.com/req/202106291/images/headshots/embiijo01.jpg,https://cdn.nba.com/logos/nba/1610612755/primary/L/logo.svg,"Joel Hans Embiid (/dʒoʊˈɛl ɛmˈbiːd/ joh-EL em-BEED; born 16 March 1994) is a Cameroonian-American professional basketball player for the Philadelphia 76ers of the National Basketball Association (NBA). After one year of college basketball with the Kansas Jayhawks, he was drafted third overall by the 76ers in the 2014 NBA draft. The 7-foot (2.13 m) Embiid is a seven-time NBA All-Star, a five-time member of the All-NBA Team, a three-time member of the All-Defensive Team, and a two-time NBA scoring champion. He was named the NBA Most Valuable Player (MVP) in 2023. Embiid also won a gold medal on the 2024 U. S. Olympic team."
Joel Embiid,2017-18,23,PHI,NBA,C,63.0,63,30.3,8.1,16.8,0.483,1.0,3.4,0.308,7.0,13.4,0.527,0.514,5.7,7.4,0.769,2.3,8.7,11.0,3.2,0.6,1.8,3.7,3.3,22.9,2022-23,https://www.basketball-reference.com/req/202106291/images/headshots/embiijo01.jpg,https://cdn.nba.com/logos/nba/1610612755/primary/L/logo.svg,"Joel Hans Embiid (/dʒoʊˈɛl ɛmˈbiːd/ joh-EL em-BEED; born 16 March 1994) is a Cameroonian-American professional basketball player for the Philadelphia 76ers of the National Basketball Association (NBA). After one year of college basketball with the Kansas Jayhawks, he was drafted third overall by the 76ers in the 2014 NBA draft. The 7-foot (2.13 m) Embiid is a seven-time NBA All-Star, a five-time member of the All-NBA Team, a three-time member of the All-Defensive Team, and a two-time NBA scoring champion. He was named the NBA Most Valuable Player (MVP) in 2023. Embiid also won a gold medal on the 2024 U. S. Olympic team."
Joel Embiid,2018-19,24,PHI,NBA,C,64.0,64,33.7,9.1,18.7,0.484,1.2,4.1,0.3,7.8,14.6,0.535,0.517,8.2,10.1,0.804,2.5,11.1,13.6,3.7,0.7,1.9,3.5,3.3,27.5,2022-23,https://www.basketball-reference.com/req/202106291/images/headshots/embiijo01.jpg,https://cdn.nba.com/logos/nba/1610612755/primary/L/logo.svg,"Joel Hans Embiid (/dʒoʊˈɛl ɛmˈbiːd/ joh-EL em-BEED; born 16 March 1994) is a Cameroonian-American professional basketball player for the Philadelphia 76ers of the National Basketball Association (NBA). After one year of college basketball with the Kansas Jayhawks, he was drafted third overall by the 76ers in the 2014 NBA draft. The 7-foot (2.13 m) Embiid is a seven-time NBA All-Star, a five-time member of the All-NBA Team, a three-time member of the All-Defensive Team, and a two-time NBA scoring champion. He was named the NBA Most Valuable Player (MVP) in 2023. Embiid also won a gold medal on the 2024 U. S. Olympic team."
Joel Embiid,2019-20,25,PHI,NBA,C,51.0,51,29.5,7.5,15.7,0.477,1.1,3.4,0.331,6.4,12.3,0.517,0.512,6.9,8.5,0.807,2.8,8.9,11.6,3.0,0.9,1.3,3.1,3.4,23.0,2022-23,https://www.basketball-reference.com/req/202106291/images/headshots/embiijo01.jpg,https://cdn.nba.com/logos/nba/1610612755/primary/L/logo.svg,"Joel Hans Embiid (/dʒoʊˈɛl ɛmˈbiːd/ joh-EL em-BEED; born 16 March 1994) is a Cameroonian-American professional basketball player for the Philadelphia 76ers of the National Basketball Association (NBA). After one year of college basketball with the Kansas Jayhawks, he was drafted third overall by the 76ers in the 2014 NBA draft. The 7-foot (2.13 m) Embiid is a seven-time NBA All-Star, a five-time member of the All-NBA Team, a three-time member of the All-Defensive Team, and a two-time NBA scoring champion. He was named the NBA Most Valuable Player (MVP) in 2023. Embiid also won a gold medal on the 2024 U. S. Olympic team."
Joel Embiid,2020-21,26,PHI,NBA,C,51.0,51,31.1,9.0,17.6,0.513,1.1,3.0,0.377,7.9,14.6,0.541,0.545,9.2,10.7,0.859,2.2,8.4,10.6,2.8,1.0,1.4,3.1,2.4,28.5,2022-23,https://www.basketball-reference.com/req/202106291/images/headshots/embiijo01.jpg,https://cdn.nba.com/logos/nba/1610612755/primary/L/logo.svg,"Joel Hans Embiid (/dʒoʊˈɛl ɛmˈbiːd/ joh-EL em-BEED; born 16 March 1994) is a Cameroonian-American professional basketball player for the Philadelphia 76ers of the National Basketball Association (NBA). After one year of college basketball with the Kansas Jayhawks, he was drafted third overall by the 76ers in the 2014 NBA draft. The 7-foot (2.13 m) Embiid is a seven-time NBA All-Star, a five-time member of the All-NBA Team, a three-time member of the All-Defensive Team, and a two-time NBA scoring champion. He was named the NBA Most Valuable Player (MVP) in 2023. Embiid also won a gold medal on the 2024 U. S. Olympic team."
Joel Embiid,2021-22,27,PHI,NBA,C,68.0,68,33.8,9.8,19.6,0.499,1.4,3.7,0.371,8.4,15.9,0.529,0.534,9.6,11.8,0.814,2.1,9.6,11.7,4.2,1.1,1.5,3.1,2.7,30.6,2022-23,https://www.basketball-reference.com/req/202106291/images/headshots/embiijo01.jpg,https://cdn.nba.com/logos/nba/1610612755/primary/L/logo.svg,"Joel Hans Embiid (/dʒoʊˈɛl ɛmˈbiːd/ joh-EL em-BEED; born 16 March 1994) is a Cameroonian-American professional basketball player for the Philadelphia 76ers of the National Basketball Association (NBA). After one year of college basketball with the Kansas Jayhawks, he was drafted third overall by the 76ers in the 2014 NBA draft. The 7-foot (2.13 m) Embiid is a seven-time NBA All-Star, a five-time member of the All-NBA Team, a three-time member of the All-Defensive Team, and a two-time NBA scoring champion. He was named the NBA Most Valuable Player (MVP) in 2023. Embiid also won a gold medal on the 2024 U. S. Olympic team."
Joel Embiid,2022-23,28,PHI,NBA,C,66.0,66,34.6,11.0,20.1,0.548,1.0,3.0,0.33,10.0,17.1,0.587,0.573,10.0,11.7,0.857,1.7,8.4,10.2,4.2,1.0,1.7,3.4,3.1,33.1,2022-23,https://www.basketball-reference.com/req/202106291/images/headshots/embiijo01.jpg,https://cdn.nba.com/logos/nba/1610612755/primary/L/logo.svg,"Joel Hans Embiid (/dʒoʊˈɛl ɛmˈbiːd/ joh-EL em-BEED; born 16 March 1994) is a Cameroonian-American professional basketball player for the Philadelphia 76ers of the National Basketball Association (NBA). After one year of college basketball with the Kansas Jayhawks, he was drafted third overall by the 76ers in the 2014 NBA draft. The 7-foot (2.13 m) Embiid is a seven-time NBA All-Star, a five-time member of the All-NBA Team, a three-time member of the All-Defensive Team, and a two-time NBA scoring champion. He was named the NBA Most Valuable Player (MVP) in 2023. Embiid also won a gold medal on the 2024 U. S. Olympic team."
Joel Embiid,2023-24,29,PHI,NBA,C,39.0,39,33.6,11.5,21.8,0.529,1.4,3.6,0.388,10.2,18.3,0.556,0.561,10.2,11.6,0.883,2.4,8.6,11.0,5.6,1.2,1.7,3.8,2.9,34.7,2022-23,https://www.basketball-reference.com/req/202106291/images/headshots/embiijo01.jpg,https://cdn.nba.com/logos/nba/1610612755/primary/L/logo.svg,"Joel Hans Embiid (/dʒoʊˈɛl ɛmˈbiːd/ joh-EL em-BEED; born 16 March 1994) is a Cameroonian-American professional basketball player for the Philadelphia 76ers of the National Basketball Association (NBA). After one year of college basketball with the Kansas Jayhawks, he was drafted third overall by the 76ers in the 2014 NBA draft. The 7-foot (2.13 m) Embiid is a seven-time NBA All-Star, a five-time member of the All-NBA Team, a three-time member of the All-Defensive Team, and a two-time NBA scoring champion. He was named the NBA Most Valuable Player (MVP) in 2023. Embiid also won a gold medal on the 2024 U. S. Olympic team."
Joel Embiid,2024-25,30,PHI,NBA,C,19.0,19,30.2,7.4,16.6,0.444,1.2,4.1,0.299,6.2,12.5,0.492,0.481,7.8,8.9,0.882,1.9,6.3,8.2,4.5,0.7,0.9,3.3,2.2,23.8,2022-23,https://www.basketball-reference.com/req/202106291/images/headshots/embiijo01.jpg,https://cdn.nba.com/logos/nba/1610612755/primary/L/logo.svg,"Joel Hans Embiid (/dʒoʊˈɛl ɛmˈbiːd/ joh-EL em-BEED; born 16 March 1994) is a Cameroonian-American professional basketball player for the Philadelphia 76ers of the National Basketball Association (NBA). After one year of college basketball with the Kansas Jayhawks, he was drafted third overall by the 76ers in the 2014 NBA draft. The 7-foot (2.13 m) Embiid is a seven-time NBA All-Star, a five-time member of the All-NBA Team, a three-time member of the All-Defensive Team, and a two-time NBA scoring champion. He was named the NBA Most Valuable Player (MVP) in 2023. Embiid also won a gold medal on the 2024 U. S. Olympic team."
Giannis Antetokounmpo,2013-14,19,MIL,NBA,SF,77.0,23,24.6,2.2,5.4,0.414,0.5,1.5,0.347,1.7,3.9,0.44,0.463,1.8,2.6,0.683,1.0,3.4,4.4,1.9,0.8,0.8,1.6,2.2,6.8,2019-20,https://www.basketball-reference.com/req/202106291/images/headshots/antetgi01.jpg,https://cdn.nba.com/logos/nba/1610612749/primary/L/logo.svg,"Giannis Sina Ugo Antetokounmpo (né Adetokunbo; born December 6, 1994) is a Nigerian-Greek professional basketball player for the Milwaukee Bucks of the National Basketball Association (NBA). His size, speed, strength, and country of origin have earned him the nickname ""Greek Freak"". He is widely regarded as one of the greatest power forwards of all time as well as one of the greatest players of all time."
Giannis Antetokounmpo,2014-15,20,MIL,NBA,SG,81.0,71,31.4,4.7,9.6,0.491,0.1,0.5,0.159,4.6,9.1,0.511,0.496,3.2,4.3,0.741,1.2,5.5,6.7,2.6,0.9,1.0,2.1,3.1,12.7,2019-20,https://www.basketball-reference.com/req/202106291/images/headshots/antetgi01.jpg,https://cdn.nba.com/logos/nba/1610612749/primary/L/logo.svg,"Giannis Sina Ugo Antetokounmpo (né Adetokunbo; born December 6, 1994) is a Nigerian-Greek professional basketball player for the Milwaukee Bucks of the National Basketball Association (NBA). His size, speed, strength, and country of origin have earned him the nickname ""Greek Freak"". He is widely regarded as one of the greatest power forwards of all time as well as one of the greatest players of all time."
Giannis Antetokounmpo,2015-16,21,MIL,NBA,PG,80.0,79,35.3,6.4,12.7,0.506,0.4,1.4,0.257,6.1,11.3,0.537,0.52,3.7,5.1,0.724,1.4,6.2,7.7,4.3,1.2,1.4,2.6,3.2,16.9,2019-20,https://www.basketball-reference.com/req/202106291/images/headshots/antetgi01.jpg,https://cdn.nba.com/logos/nba/1610612749/primary/L/logo.svg,"Giannis Sina Ugo Antetokounmpo (né Adetokunbo; born December 6, 1994) is a Nigerian-Greek professional basketball player for the Milwaukee Bucks of the National Basketball Association (NBA). His size, speed, strength, and country of origin have earned him the nickname ""Greek Freak"". He is widely regarded as one of the greatest power forwards of all time as well as one of the greatest players of all time."
Giannis Antetokounmpo,2016-17,22,MIL,NBA,SF,80.0,80,35.6,8.2,15.7,0.521,0.6,2.3,0.272,7.6,13.5,0.563,0.541,5.9,7.7,0.77,1.8,7.0,8.8,5.4,1.6,1.9,2.9,3.1,22.9,2019-20,https://www.basketball-reference.com/req/202106291/images/headshots/antetgi01.jpg,https://cdn.nba.com/logos/nba/1610612749/primary/L/logo.svg,"Giannis Sina Ugo Antetokounmpo (né Adetokunbo; born December 6, 1994) is a Nigerian-Greek professional basketball player for the Milwaukee Bucks of the National Basketball Association (NBA). His size, speed, strength, and country of origin have earned him the nickname ""Greek Freak"". He is widely regarded as one of the greatest power forwards of all time as well as one of the greatest players of all time."
Giannis Antetokounmpo,2017-18,23,MIL,NBA,PF,75.0,75,36.7,9.9,18.7,0.529,0.6,1.9,0.307,9.3,16.8,0.554,0.545,6.5,8.5,0.76,2.1,8.0,10.0,4.8,1.5,1.4,3.0,3.1,26.9,2019-20,https://www.basketball-reference.com/req/202106291/images/headshots/antetgi01.jpg,https://cdn.nba.com/logos/nba/1610612749/primary/L/logo.svg,"Giannis Sina Ugo Antetokounmpo (né Adetokunbo; born December 6, 1994) is a Nigerian-Greek professional basketball player for the Milwaukee Bucks of the National Basketball Association (NBA). His size, speed, strength, and country of origin have earned him the nickname ""Greek Freak"". He is widely regarded as one of the greatest power forwards of all time as well as one of the greatest players of all time."
Giannis Antetokounmpo,2018-19,24,MIL,NBA,PF,72.0,72,32.8,10.0,17.3,0.578,0.7,2.8,0.256,9.3,14.5,0.641,0.599,6.9,9.5,0.729,2.2,10.3,12.5,5.9,1.3,1.5,3.7,3.2,27.7,2019-20,https://www.basketball-reference.com/req/202106291/images/headshots/antetgi01.jpg,https://cdn.nba.com/logos/nba/1610612749/primary/L/logo.svg,"Giannis Sina Ugo Antetokounmpo (né Adetokunbo; born December 6, 1994) is a Nigerian-Greek professional basketball player for the Milwaukee Bucks of the National Basketball Association (NBA). His size, speed, strength, and country of origin have earned him the nickname ""Greek Freak"". He is widely regarded as one of the greatest power forwards of all time as well as one of the greatest players of all time."
Giannis Antetokounmpo,2019-20,25,MIL,NBA,PF,63.0,63,30.4,10.9,19.7,0.553,1.4,4.7,0.304,9.5,15.0,0.631,0.589,6.3,10.0,0.633,2.2,11.4,13.6,5.6,1.0,1.0,3.7,3.1,29.5,2019-20,https://www.basketball-reference.com/req/202106291/images/headshots/antetgi01.jpg,https://cdn.nba.com/logos/nba/1610612749/primary/L/logo.svg,"Giannis Sina Ugo Antetokounmpo (né Adetokunbo; born December 6, 1994) is a Nigerian-Greek professional basketball player for the Milwaukee Bucks of the National Basketball Association (NBA). His size, speed, strength, and country of origin have earned him the nickname ""Greek Freak"". He is widely regarded as one of the greatest power forwards of all time as well as one of the greatest players of all time."
Giannis Antetokounmpo,2020-21,26,MIL,NBA,PF,61.0,61,33.0,10.3,18.0,0.569,1.1,3.6,0.303,9.2,14.4,0.636,0.6,6.5,9.5,0.685,1.6,9.4,11.0,5.9,1.2,1.2,3.4,2.8,28.1,2019-20,https://www.basketball-reference.com/req/202106291/images/headshots/antetgi01.jpg,https://cdn.nba.com/logos/nba/1610612749/primary/L/logo.svg,"Giannis Sina Ugo Antetokounmpo (né Adetokunbo; born December 6, 1994) is a Nigerian-Greek professional basketball player for the Milwaukee Bucks of the National Basketball Association (NBA). His size, speed, strength, and country of origin have earned him the nickname ""Greek Freak"". He is widely regarded as one of the greatest power forwards of all time as well as one of the greatest players of all time."
Giannis Antetokounmpo,2021-22,27,MIL,NBA,PF,67.0,67,32.9,10.3,18.6,0.553,1.1,3.6,0.293,9.2,15.0,0.616,0.582,8.3,11.4,0.722,2.0,9.6,11.6,5.8,1.1,1.4,3.3,3.2,29.9,2019-20,https://www.basketball-reference.com/req/202106291/images/headshots/antetgi01.jpg,https://cdn.nba.com/logos/nba/1610612749/primary/L/logo.svg,"Giannis Sina Ugo Antetokounmpo (né Adetokunbo; born December 6, 1994) is a Nigerian-Greek professional basketball player for the Milwaukee Bucks of the National Basketball Association (NBA). His size, speed, strength, and country of origin have earned him the nickname ""Greek Freak"". He is widely regarded as one of the greatest power forwards of all time as well as one of the greatest players of all time."
Giannis Antetokounmpo,2022-23,28,MIL,NBA,PF,63.0,63,32.1,11.2,20.3,0.553,0.7,2.7,0.275,10.5,17.6,0.596,0.572,7.9,12.3,0.645,2.2,9.6,11.8,5.7,0.8,0.8,3.9,3.1,31.1,2019-20,https://www.basketball-reference.com/req/202106291/images/headshots/antetgi01.jpg,https://cdn.nba.com/logos/nba/1610612749/primary/L/logo.svg,"Giannis Sina Ugo Antetokounmpo (né Adetokunbo; born December 6, 1994) is a Nigerian-Greek professional basketball player for the Milwaukee Bucks of the National Basketball Association (NBA). His size, speed, strength, and country of origin have earned him the nickname ""Greek Freak"". He is widely regarded as one of the greatest power forwards of all time as well as one of the greatest players of all time."
Giannis Antetokounmpo,2023-24,29,MIL,NBA,PF,73.0,73,35.2,11.5,18.8,0.611,0.5,1.7,0.274,11.0,17.1,0.645,0.624,7.0,10.7,0.657,2.7,8.8,11.5,6.5,1.2,1.1,3.4,2.9,30.4,2019-20,https://www.basketball-reference.com/req/202106291/images/headshots/antetgi01.jpg,https://cdn.nba.com/logos/nba/1610612749/primary/L/logo.svg,"Giannis Sina Ugo Antetokounmpo (né Adetokunbo; born December 6, 1994) is a Nigerian-Greek professional basketball player for the Milwaukee Bucks of the National Basketball Association (NBA). His size, speed, strength, and country of origin have earned him the nickname ""Greek Freak"". He is widely regarded as one of the greatest power forwards of all time as well as one of the greatest players of all time."
Giannis Antetokounmpo,2024-25,30,MIL,NBA,PF,44.0,44,34.2,12.5,20.4,0.61,0.2,0.8,0.194,12.3,19.6,0.628,0.614,6.0,10.4,0.577,2.3,9.8,12.0,5.8,0.8,1.3,3.5,2.5,31.0,2019-20,https://www.basketball-reference.com/req/202106291/images/headshots/antetgi01.jpg,https://cdn.nba.com/logos/nba/1610612749/primary/L/logo.svg,"Giannis Sina Ugo Antetokounmpo (né Adetokunbo; born December 6, 1994) is a Nigerian-Greek professional basketball player for the Milwaukee Bucks of the National Basketball Association (NBA). His size, speed, strength, and country of origin have earned him the nickname ""Greek Freak"". He is widely regarded as one of the greatest power forwards of all time as well as one of the greatest players of all time."
James Harden,2009-10,20,OKC,NBA,SG,76.0,0,22.9,3.1,7.6,0.403,1.2,3.3,0.375,1.8,4.3,0.424,0.484,2.6,3.2,0.808,0.6,2.6,3.2,1.8,1.1,0.3,1.4,2.6,9.9,2017-18,https://www.basketball-reference.com/req/202106291/images/headshots/hardeja01.jpg,https://cdn.nba.com/logos/nba/1610612760/primary/L/logo.svg,"James Edward Harden Jr. (born August 26, 1989) is an American professional basketball player for the Los Angeles Clippers of the National Basketball Association (NBA). He is widely regarded as one of the greatest scorers and shooting guards in NBA history. In 2021, Harden was honored as one of the league's top 75 players by being named to the NBA 75th Anniversary Team. Harden is also a two-time member of the United States national team, winning gold medals at the 2012 Summer Olympics and 2014 FIBA World Cup."
